start_station_name,start_lat,start_lng,starts_2013,starts_2018,starts_2023,end_station_name,end_lat,end_lng,ends_2013,ends_2018,ends_2023
E 115 St & Lexington Ave,40.797287016569086,-73.94287414154364,,508.0,1585.0,E 115 St & Lexington Ave,40.797911,-73.9423,,504.0,1589
E 115 St & Madison Ave,40.79849582512232,-73.94499129228153,,455.0,1229.0,E 115 St & Madison Ave,40.7989445,-73.944846,,469.0,1236
E 116 St & 2 Ave,40.7968057223713,-73.93736924738116,,611.0,1150.0,E 116 St & 2 Ave,40.796879,-73.937261,,605.0,1150
E 117 St & 1 Ave,40.79631907169887,-73.93489114886461,,,1552.0,E 117 St & 1 Ave,40.79656826063975,-73.93459528666666,,,1598
E 118 St & 3 Ave,40.79855500067518,-73.939256412339,,581.0,1645.0,E 118 St & 3 Ave,40.799139,-73.9389152,,577.0,1645
E 118 St & Madison Ave,40.80096196281953,-73.94470608973762,,484.0,1461.0,E 118 St & Madison Ave,40.801486601099654,-73.94425070082474,,482.0,1455
E 118 St & Park Ave,40.79993366928205,-73.94218601693649,,252.0,845.0,E 118 St & Park Ave,40.8005385,-73.9419949,,256.0,977
E 12 St & 3 Ave,40.73233100278228,-73.98880622681259,3199.0,5580.0,3751.0,E 12 St & 3 Ave,40.73223272029661,-73.98889957045552,3307.0,5566.0,3776
E 12 St & Ave C,40.72744654550726,-73.97691510696762,,,2708.0,E 12 St & Ave C,40.727243,-73.976831,,,2692
E 123 St & Lexington Ave,40.80222491532924,-73.93824035368117,,547.0,1057.0,E 123 St & Lexington Ave,40.80292629943663,-73.9379,,543.0,1065
E 128 St & 3 Ave,40.8047990174833,-73.93458772007381,,,429.0,E 128 St & 3 Ave,40.805631,-73.934077,,,417
E 128 St & Madison Ave,40.80727660209907,-73.93920574030763,,452.0,1154.0,E 128 St & Madison Ave,40.80756,-73.939182,,457.0,1156
E 13 St & 2 Ave,40.73164111527193,-73.98513368034766,,,6633.0,E 13 St & 2 Ave,40.731539374246964,-73.98530244780154,,,6660
E 13 St & Avenue A,40.729594322011685,-73.98065694983663,3226.0,5912.0,3383.0,E 13 St & Avenue A,40.72966729384599,-73.98067966113217,3223.0,5370.0,3508
E 132 St & Madison Ave,40.80985277081598,-73.9374926367542,,,1489.0,E 132 St & Madison Ave,40.810224,-73.937195,,,1491
E 133 St & Cypress Pl,40.80270897226712,-73.91760447768911,,,297.0,E 133 St & Cypress Pl,40.80262,-73.9174,,,303
E 134 St & Walnut Ave,40.80109704144203,-73.91099762897464,,,92.0,E 134 St & Walnut Ave,40.800425,-73.911034,,,89
E 135 St & St Ann's Ave,40.80379882588079,-73.92028602858845,,,439.0,E 135 St & St Ann's Ave,40.805089,-73.91888900000001,,,446
E 138 St & 5 Av,40.8139654694388,-73.9364676728829,,,945.0,E 138 St & 5 Av,40.81449,-73.936153,,,966
E 138 St & Cypress Ave,40.805426119622375,-73.91537806688724,,,1144.0,E 138 St & Cypress Ave,40.805559,-73.914718,,,1156
E 138 St & Grand Concourse,40.81285783857014,-73.93112551241055,,,259.0,E 138 St & Grand Concourse,40.813224,-73.930605,,,281
E 138 St & Park Ave,40.81238869835775,-73.92970937174233,,,646.0,E 138 St & Park Ave,40.81263616769319,-73.92924964427948,,,647
E 138 St & Willow Ave,40.80444675010958,-73.91189282493103,,,435.0,E 138 St & Willow Ave,40.804168,-73.911545,,,437
E 14 St & 1 Ave,40.73153145112863,-73.98279204856367,,,6154.0,E 14 St & 1 Ave,40.73139303357608,-73.98286700248234,,,6170
E 14 St & Avenue B,40.72951128487496,-73.97772603627116,2229.0,,5169.0,E 14 St & Avenue B,40.729386850087145,-73.97772428983153,2201.0,,5164
E 141 St & Jackson Ave,40.806840725827755,-73.91221265380916,,,538.0,E 141 St & Jackson Ave,40.806896,-73.911837,,,540
E 141 St & St Ann's Ave,40.80856539350363,-73.9163090404971,,,460.0,E 141 St & St Ann's Ave,40.808633,-73.916124,,,469
E 142 St & 3 Ave,40.8128888693742,-73.9234129624714,,,1142.0,E 142 St & 3 Ave,40.812735,-73.923697,,,1155
E 144 St & Brook Ave,40.81151420506186,-73.91743893306322,,,485.0,E 144 St & Brook Ave,40.811675,-73.917037,,,484
E 147 St & Bergen Ave,40.8144312036402,-73.91904299636926,,,529.0,E 147 St & Bergen Ave,40.814673,-73.91839,,,544
E 149 St & Eagle Ave,40.814138854735205,-73.91204310100001,,,535.0,E 149 St & Eagle Ave,40.814046,-73.91186,,,546
E 149 St & Jackson Ave,40.813284526375675,-73.90949590185451,,,866.0,E 149 St & Jackson Ave,40.813135,-73.909235,,,876
E 149 St & Morris Ave,40.816762671518966,-73.9235769847502,,,826.0,E 149 St & Morris Ave,40.81734000000001,-73.922962,,,847
E 149 St & Park Ave,40.81778262206914,-73.92578008471882,,,1080.0,E 149 St & Park Ave,40.818154,-73.925294,,,1093
E 15 St & 3 Ave,40.734305692717996,-73.98686602859522,2449.0,5408.0,5364.0,E 15 St & 3 Ave,40.734232,-73.986923,2466.0,5411.0,5374
E 150 St & Gerard Ave,40.81999875762621,-73.92921801287379,,,552.0,E 150 St & Gerard Ave,40.820089,-73.928947,,,574
E 153 St & E 157 St,40.82570591490453,-73.92977047907713,,,618.0,E 153 St & E 157 St,40.826677,-73.929327,,,636
E 155 St & Courtlandt Ave,40.82066612884574,-73.91771634735504,,,860.0,E 155 St & Courtlandt Ave,40.82057,-73.917579,,,875
E 156 & Brook Ave,40.81922858663594,-73.91295635871832,,,781.0,E 156 & Brook Ave,40.819823,-73.912411,,,800
E 156 St & Courtlandt Ave,40.820412740236904,-73.91751804606848,,,444.0,E 156 St & Courtlandt Ave,40.82123860172,-73.9173299074173,,,452
E 157 St & River Ave,40.825478444703144,-73.92737051422097,,,795.0,E 157 St & River Ave,40.825737,-73.927311,,,792
E 158 St & Melrose Ave,40.82200671628953,-73.91515073075824,,,586.0,E 158 St & Melrose Ave,40.822215,-73.914688,,,588
E 16 St & 5 Ave,40.73726687557057,-73.99226442426978,3267.0,5590.0,6535.0,E 16 St & 5 Ave,40.737261860127965,-73.99238967030163,3151.0,5770.0,6564
E 16 St & Cortelyou Rd,40.64211079157615,-73.96384490171695,,,232.0,E 16 St & Cortelyou Rd,40.64173,-73.96364,,,250
E 16 St & Irving Pl,40.73543510180804,-73.98795271018697,3456.0,3631.0,4468.0,E 16 St & Irving Pl,40.735367055555535,-73.9879739285157,3334.0,3633.0,4461
E 160 St & Tinton Ave,40.81989136164217,-73.90398641112073,,,381.0,E 160 St & Tinton Ave,40.820302,-73.903944,,,361
E 161 St & Park Ave,40.82397643225636,-73.91714799623655,,,1009.0,E 161 St & Park Ave,40.824811,-73.91640700000002,,,1012
E 161 St & River Ave,40.827130423574985,-73.92749206514866,,,2574.0,E 161 St & River Ave,40.827883,-73.927111,,,2567
E 163 St & Tiffany St,40.82056384967304,-73.89591060927049,,,366.0,E 163 St & Tiffany St,40.821075,-73.895069,,,380
E 163 St & Union Ave,40.82196235999859,-73.90244373092074,,,471.0,E 163 St & Union Ave,40.822545,-73.901824,,,485
E 165 St & Clay Ave,40.827652629865604,-73.91318360074943,,,439.0,E 165 St & Clay Ave,40.82809,-73.91288,,,454
E 165 St & Fox St,40.82400772654058,-73.89404276994382,,,267.0,E 165 St & Fox St,40.82394,-73.894025,,,243
E 165 St & Jerome Ave,40.83187034929344,-73.92551727862855,,,376.0,E 165 St & Jerome Ave,40.83263,-73.925101,,,376
E 167 St & Bryant Ave,40.82639724368131,-73.88981604625802,,,478.0,E 167 St & Bryant Ave,40.826706,-73.888719,,,476
E 167 St & Clay Ave,40.830435158682405,-73.91172307437371,,,487.0,E 167 St & Clay Ave,40.83094,-73.91125,,,514
E 167 St & Franklin Ave,40.82911763432589,-73.90546191803043,,,493.0,E 167 St & Franklin Ave,40.82895,-73.90521,,,493
E 169 St & Fox St,40.826631256055016,-73.89432420255771,,,309.0,E 169 St & Fox St,40.827184,-73.893721,,,316
E 169 St & Webster Ave,40.83369657757692,-73.90913812623386,,,754.0,E 169 St & Webster Ave,40.834015,-73.908863,,,790
